country,sex,age,fatality,año,mes,shark_specimen,tipo_lesion,lugar_lesion
USA,M,unkwown,N,2017,09,nurse,laceración,tronco
USA,F,unkwown,N,2017,09,others/unknown,laceración,pies
USA,M,17,N,2017,09,others/unknown,others/unknown,manos
AUSTRALIA,M,37,N,2017,08,white,mordiscos,others/unknown
USA,F,3,N,2017,08,others/unknown,others/unknown,piernas
SPAIN,F,11,Desconocido,2017,08,others/unknown,laceración,pies
NEW ZEALAND,M,unkwown,N,2017,08,others/unknown,mordiscos,others/unknown
USA,M,69,N,2017,08,white,mordiscos,others/unknown
BAHAMAS,M,unkwown,N,2017,08,others/unknown,others/unknown,manos
USA,M,13,N,2017,08,blacktip,others/unknown,pies
EGYPT,F,20,N,2017,08,white,mordiscos,piernas
USA,M,34,N,2017,08,others/unknown,mordiscos,pies
USA,M,unkwown,N,2017,08,white,mordiscos,others/unknown
USA,M,15,N,2017,07,others/unknown,laceración,piernas
USA,M,10,Desconocido,2017,07,others/unknown,others/unknown,pies
USA,F,12,N,2017,07,others/unknown,mordiscos,piernas
BAHAMAS,F,unkwown,N,2017,07,others/unknown,others/unknown,pies
BAHAMAS,M,unkwown,N,2017,07,others/unknown,laceración,manos
"ST HELENA, British overseas territory",M,37,N,2017,07,others/unknown,mordiscos,tronco
USA,F,unkwown,N,2017,07,tiger,others/unknown,manos
SPAIN,F,unkwown,N,2017,07,blue,others/unknown,brazos
USA,F,40,N,2017,07,others/unknown,mordiscos,pies
USA,F,8,Desconocido,2017,07,others/unknown,others/unknown,pies
USA,M,40,N,2017,07,white,mordiscos,others/unknown
USA,M,50,N,2017,07,white,mordiscos,others/unknown
USA,M,unkwown,N,2017,07,white,others/unknown,others/unknown
AUSTRALIA,M,unkwown,N,2017,07,others/unknown,others/unknown,others/unknown
USA,M,unkwown,N,2017,07,white,mordiscos,others/unknown
USA,M,46,N,2017,07,bull,mordiscos,piernas
MEXICO,M,32,N,2017,07,tiger,mordiscos,manos
SOUTH AFRICA,F,13,N,2017,07,white,mordiscos,others/unknown
COMOROS,Desconocido,unkwown,Desconocido,2017,07,others/unknown,others/unknown,others/unknown
