country,sex,age,fatality,año,mes,shark_specimen,tipo_lesion,lugar_lesion
USA,M,unkwown,N,2008,08,tiger,others/unknown,others/unknown
AUSTRALIA,M,31,N,2008,07,white,others/unknown,others/unknown
SOUTH AFRICA,M,unkwown,N,2008,07,white,laceración,manos
PANAMA,M,unkwown,N,2008,07,others/unknown,laceración,pies
MEXICO,M,33,N,2008,07,others/unknown,herida,others/unknown
USA,M,unkwown,N,2008,07,reef,others/unknown,others/unknown
USA,M,17,N,2008,07,others/unknown,mordiscos,pies
USA,F,44,N,2008,07,others/unknown,mordiscos,brazos
USA,M,9,N,2008,07,others/unknown,laceración,others/unknown
USA,F,8,N,2008,07,others/unknown,laceración,pies
USA,M,15,N,2008,07,others/unknown,mordiscos,pies
USA,M,16,N,2008,07,others/unknown,laceración,piernas
EGYPT,M,unkwown,N,2008,07,white,others/unknown,piernas
USA,M,52,Desconocido,2008,07,others/unknown,others/unknown,others/unknown
USA,M,24,N,2008,07,others/unknown,laceración,others/unknown
USA,F,14,N,2008,07,others/unknown,laceración,pies
USA,F,17,N,2008,07,others/unknown,laceración,pies
UNITED KINGDOM,M,16,N,2008,07,others/unknown,others/unknown,others/unknown
USA,M,53,Desconocido,2008,06,others/unknown,mordiscos,others/unknown
BAHAMAS,M,42,N,2008,06,bull,laceración,piernas
SOUTH AFRICA,M,46,N,2008,06,white,mordiscos,others/unknown
SOUTH AFRICA,M,unkwown,N,2008,06,white,others/unknown,others/unknown
USA,M,29,N,2008,06,others/unknown,laceración,pies
USA,M,37,N,2008,06,others/unknown,laceración,manos
BRAZIL,M,unkwown,N,2008,06,others/unknown,mordiscos,others/unknown
USA,F,40,N,2008,06,white,golpe,others/unknown
USA,F,35,N,2008,06,others/unknown,laceración,piernas
BRAZIL,M,14,N,2008,06,others/unknown,laceración,piernas
USA,M,40,N,2008,06,others/unknown,laceración,manos
SCOTLAND,Desconocido,unkwown,N,2008,06,others/unknown,others/unknown,others/unknown
USA,F,15,N,2008,06,others/unknown,mordiscos,pies
BRAZIL,M,14,N,2008,06,bull,mordiscos,manos
USA,M,9,N,2008,05,others/unknown,mordiscos,brazos
BAHAMAS,M,unkwown,N,2008,05,tiger,others/unknown,others/unknown
MEXICO,M,49,N,2008,05,others/unknown,laceración,brazos
MEXICO,M,21,Y,2008,05,others/unknown,others/unknown,others/unknown
FIJI,M,28,Y,2008,05,others/unknown,others/unknown,others/unknown
AUSTRALIA,M,37,N,2008,05,white,laceración,piernas
NEW CALEDONIA,M,40,N,2008,05,bull,mordiscos,piernas
USA,M,6,N,2008,05,others/unknown,laceración,piernas
SOUTH AFRICA,M,24,N,2008,05,others/unknown,mordiscos,piernas
MEXICO,M,24,Y,2008,04,tiger,mordiscos,piernas
USA,M,18,N,2008,04,others/unknown,laceración,pies
USA,M,24,N,2008,04,others/unknown,mordiscos,piernas
NEW CALEDONIA,M,32,N,2008,04,bull,laceración,pies
USA,M,21,N,2008,04,others/unknown,herida,pies
USA,M,66,Y,2008,04,white,others/unknown,others/unknown
USA,M,14,N,2008,04,others/unknown,others/unknown,pies
AUSTRALIA,M,unkwown,Desconocido,2008,04,tiger,others/unknown,others/unknown
SOUTH AFRICA,M,unkwown,Desconocido,2008,04,tiger,others/unknown,manos
MEXICO,M,32,Desconocido,2008,04,others/unknown,mordiscos,others/unknown
AUSTRALIA,M,19,Desconocido,2008,04,others/unknown,herida,piernas
USA,M,30,N,2008,04,others/unknown,herida,pies
FIJI,M,unkwown,N,2008,04,others/unknown,mordiscos,brazos
USA,M,15,N,2008,03,others/unknown,mordiscos,others/unknown
USA,Desconocido,unkwown,N,2008,04,others/unknown,mordiscos,pies
AUSTRALIA,M,16,Y,2008,04,bull,others/unknown,others/unknown
USA,M,18,N,2008,04,others/unknown,mordiscos,pies
SOUTH AFRICA,M,51,N,2008,03,others/unknown,mordiscos,piernas
USA,M,52,N,2008,03,others/unknown,mordiscos,pies
USA,M,unkwown,N,2008,03,others/unknown,mordiscos,pies
USA,M,13,N,2008,03,others/unknown,laceración,pies
USA,M,14,N,2008,03,others/unknown,laceración,pies
USA,M,8,N,2008,03,others/unknown,others/unknown,others/unknown
USA,M,27,N,2008,03,white,mordiscos,others/unknown
BAHAMAS,M,49,Y,2008,02,bull,mordiscos,piernas
FRENCH POLYNESIA,M,26,N,2008,02,others/unknown,laceración,others/unknown
USA,M,25,N,2008,02,others/unknown,laceración,pies
AUSTRALIA,F,14,N,2008,02,others/unknown,others/unknown,brazos
USA,M,unkwown,N,2008,02,others/unknown,laceración,pies
JAPAN,M,unkwown,Desconocido,2008,01,others/unknown,mordiscos,brazos
SOUTH AFRICA,M,42,N,2008,01,blacktip,others/unknown,others/unknown
AUSTRALIA,M,20,N,2008,01,mako,laceración,piernas
NEW ZEALAND,M,unkwown,Desconocido,2008,01,others/unknown,others/unknown,others/unknown
NEW ZEALAND,Desconocido,unkwown,N,2008,01,whaler,others/unknown,others/unknown
USA,M,20,N,2008,01,others/unknown,mordiscos,pies
USA,M,unkwown,N,2008,00,nurse,others/unknown,manos
MEXICO,M,26,N,2008,00,hammerhead,mordiscos,piernas
ECUADOR,M,24,N,2007,12,others/unknown,laceración,piernas
BRITISH VIRGIN ISLANDS,M,53,Desconocido,2007,12,others/unknown,mordiscos,others/unknown
AUSTRALIA,M,31,N,2007,12,others/unknown,laceración,others/unknown
AUSTRALIA,M,14,N,2007,12,others/unknown,laceración,manos
AUSTRALIA,M,34,Desconocido,2007,12,others/unknown,laceración,brazos
USA,M,52,N,2007,12,tiger,mordiscos,others/unknown
NEW ZEALAND,F,unkwown,N,2007,12,others/unknown,mordiscos,others/unknown
BRAZIL,M,28,N,2007,12,others/unknown,others/unknown,pies
AUSTRALIA,M,32,N,2007,11,reef,others/unknown,manos
AUSTRALIA,M,unkwown,N,2007,11,others/unknown,others/unknown,others/unknown
SOUTH AFRICA,M,14,N,2007,11,others/unknown,laceración,pies
USA,M,21,N,2007,11,others/unknown,others/unknown,piernas
USA,M,42,N,2007,11,others/unknown,laceración,piernas
SOUTH AFRICA,M,37,N,2007,11,white,laceración,piernas
MEXICO,M,unkwown,Desconocido,2007,11,others/unknown,others/unknown,others/unknown
USA,M,32,N,2007,10,tiger,laceración,piernas
AUSTRALIA,F,52,N,2007,10,white,laceración,manos
AUSTRALIA,M,31,N,2007,10,whaler,laceración,piernas
USA,M,22,N,2007,10,others/unknown,others/unknown,manos
USA,M,16,N,2007,10,blacktip,laceración,manos
USA,M,unkwown,N,2007,09,others/unknown,others/unknown,pies
PHILIPPINES,M,unkwown,Y,2007,09,others/unknown,others/unknown,piernas
NEW CALEDONIA,F,23,Y,2007,09,tiger,others/unknown,others/unknown
BAHAMAS,F,48,N,2007,09,reef,mordiscos,piernas
USA,F,unkwown,N,2007,09,white,mordiscos,others/unknown
EGYPT,F,19,N,2007,09,white,laceración,piernas
USA,F,unkwown,Desconocido,2007,09,others/unknown,others/unknown,others/unknown
USA,F,unkwown,N,2007,09,others/unknown,laceración,pies
USA,M,23,N,2007,09,others/unknown,laceración,others/unknown
SOLOMON ISLANDS,M,unkwown,N,2007,09,reef,mordiscos,piernas
USA,M,56,N,2007,09,others/unknown,laceración,pies
USA,F,14,N,2007,09,others/unknown,mordiscos,others/unknown
USA,M,14,N,2007,09,nurse,others/unknown,tronco
USA,F,58,N,2007,09,others/unknown,laceración,piernas
USA,F,36,N,2007,09,others/unknown,laceración,others/unknown
USA,M,15,N,2007,09,others/unknown,laceración,piernas
USA,F,12,N,2007,09,others/unknown,others/unknown,brazos
USA,M,58,N,2007,09,spinner,laceración,brazos
USA,M,15,N,2007,08,tiger,laceración,pies
USA,M,24,N,2007,08,white,laceración,piernas
USA,M,54,N,2007,08,others/unknown,mordiscos,manos
USA,M,27,N,2007,08,others/unknown,laceración,manos
USA,M,unkwown,N,2007,08,sand,others/unknown,others/unknown
USA,M,unkwown,N,2007,08,tiger,mordiscos,brazos
USA,M,52,N,2007,08,others/unknown,mordiscos,tronco
USA,M,16,N,2007,08,others/unknown,mordiscos,pies
USA,M,7,N,2007,08,others/unknown,mordiscos,piernas
USA,M,20,N,2007,08,bull,herida,tronco
USA,F,15,N,2007,08,others/unknown,laceración,pies
USA,M,19,N,2007,08,others/unknown,laceración,pies
USA,M,30,N,2007,08,others/unknown,laceración,pies
USA,M,9,N,2007,08,others/unknown,laceración,piernas
USA,F,19,N,2007,08,bull,laceración,brazos
USA,M,51,N,2007,07,others/unknown,others/unknown,tronco
USA,M,20,N,2007,07,others/unknown,mordiscos,others/unknown
USA,M,unkwown,N,2007,07,white,golpe,others/unknown
USA,M,unkwown,N,2007,07,white,mordiscos,others/unknown
USA,M,36,N,2007,07,others/unknown,mordiscos,piernas
AUSTRALIA,M,15,N,2007,07,whaler,mordiscos,piernas
USA,M,14,N,2007,07,others/unknown,mordiscos,piernas
NORWAY,M,48,N,2007,07,others/unknown,mordiscos,brazos
USA,F,43,Desconocido,2007,07,others/unknown,others/unknown,pies
USA,F,30,N,2007,07,others/unknown,laceración,piernas
BAHAMAS,F,48,N,2007,07,bull,laceración,manos
USA,M,18,N,2007,07,others/unknown,mordiscos,pies
REUNION,M,17,N,2007,07,others/unknown,others/unknown,piernas
SENEGAL,Desconocido,unkwown,Desconocido,2007,07,others/unknown,others/unknown,others/unknown
USA,M,unkwown,N,2007,06,lemon,laceración,manos
USA,F,unkwown,N,2007,06,others/unknown,mordiscos,manos
USA,M,20,N,2007,06,others/unknown,herida,manos
USA,M,unkwown,N,2007,06,tiger,others/unknown,others/unknown
USA,F,9,Desconocido,2007,06,others/unknown,others/unknown,piernas
USA,F,unkwown,N,2007,06,others/unknown,mordiscos,pies
AUSTRALIA,M,unkwown,N,2007,06,others/unknown,laceración,piernas
USA,F,unkwown,N,2007,05,others/unknown,laceración,piernas
USA,F,40,N,2007,05,blacktip,mordiscos,others/unknown
ENGLAND,M,38,N,2007,05,others/unknown,mordiscos,others/unknown
AUSTRALIA,F,38,N,2007,05,others/unknown,mordiscos,piernas
AUSTRALIA,M,19,N,2007,05,others/unknown,others/unknown,piernas
USA,F,21,N,2007,05,others/unknown,mordiscos,piernas
SEYCHELLES,M,unkwown,N,2007,05,white,others/unknown,others/unknown
AUSTRALIA,M,45,Desconocido,2007,05,others/unknown,others/unknown,others/unknown
USA,F,63,N,2007,05,tiger,mordiscos,pies
USA,M,68,N,2007,05,others/unknown,mordiscos,piernas
TURKS & CAICOS,Desconocido,unkwown,Y,2007,05,others/unknown,mordiscos,others/unknown
BAHAMAS,F,20,N,2007,05,lemon,laceración,brazos
AUSTRALIA,F,13,N,2007,04,others/unknown,others/unknown,piernas
USA,M,12,N,2007,04,blacktip,mordiscos,pies
USA,M,24,N,2007,04,others/unknown,laceración,manos
USA,Desconocido,unkwown,N,2007,04,bull,others/unknown,others/unknown
NEW CALEDONIA,M,26,N,2007,04,tiger,mordiscos,pies
USA,M,7,N,2007,04,others/unknown,laceración,piernas
USA,M,27,N,2007,03,others/unknown,laceración,pies
USA,M,9,N,2007,03,others/unknown,others/unknown,piernas
YEMEN,Desconocido,unkwown,Y,2007,03,others/unknown,others/unknown,others/unknown
USA,M,11,N,2007,03,others/unknown,laceración,piernas
AUSTRALIA,F,42,N,2007,03,others/unknown,laceración,manos
USA,M,unkwown,N,2007,03,others/unknown,mordiscos,manos
AUSTRALIA,F,59,N,2007,03,others/unknown,laceración,piernas
USA,M,29,N,2007,03,others/unknown,laceración,brazos
NEW ZEALAND,M,16,N,2007,03,tiger,mordiscos,piernas
COSTA RICA,M,36,Desconocido,2007,02,others/unknown,mordiscos,others/unknown
AUSTRALIA,M,26,N,2007,02,others/unknown,laceración,piernas
NEW CALEDONIA,M,unkwown,N,2007,02,others/unknown,others/unknown,others/unknown
NEW CALEDONIA,M,30,N,2007,01,tiger,mordiscos,piernas
USA,Desconocido,unkwown,N,2007,01,others/unknown,golpe,others/unknown
AUSTRALIA,M,41,N,2007,01,white,mordiscos,tronco
AUSTRALIA,M,20,Desconocido,2007,01,others/unknown,others/unknown,others/unknown
SOUTH AFRICA,M,24,Y,2007,01,tiger,others/unknown,tronco
AUSTRALIA,M,unkwown,N,2007,01,others/unknown,others/unknown,others/unknown
USA,M,54,Desconocido,2007,01,others/unknown,others/unknown,others/unknown
USA,M,24,N,2007,01,tiger,others/unknown,others/unknown
AUSTRALIA,M,25,N,2006,12,others/unknown,mordiscos,piernas
NEW ZEALAND,M,10,N,2006,12,others/unknown,mordiscos,pies
USA,M,43,N,2006,12,white,mordiscos,others/unknown
SOUTH AFRICA,M,25,N,2006,12,raggedtooth,mordiscos,piernas
AUSTRALIA,M,15,N,2006,12,white,laceración,piernas
PHILIPPINES,Desconocido,unkwown,Y,2006,11,others/unknown,others/unknown,others/unknown
USA,M,29,N,2006,11,others/unknown,laceración,piernas
SOUTH AFRICA,M,unkwown,N,2006,11,bull,laceración,brazos
USA,M,22,N,2006,10,white,mordiscos,others/unknown
USA,M,15,N,2006,10,others/unknown,mordiscos,piernas
USA,M,20,N,2006,10,others/unknown,mordiscos,pies
USA,M,unkwown,N,2006,10,others/unknown,laceración,piernas
USA,M,18,N,2006,10,others/unknown,laceración,pies
BAHAMAS,F,26,N,2006,10,others/unknown,herida,pies
GULF OF ADEN,Desconocido,unkwown,Y,2006,10,others/unknown,others/unknown,others/unknown
SOUTH AFRICA,M,36,Desconocido,2006,09,others/unknown,others/unknown,others/unknown
USA,M,19,N,2006,09,others/unknown,mordiscos,others/unknown
USA,M,unkwown,N,2006,09,nurse,laceración,others/unknown
USA,M,16,N,2006,09,others/unknown,laceración,piernas
USA,M,55,N,2006,09,spinner,others/unknown,manos
USA,M,52,N,2006,09,others/unknown,others/unknown,tronco
AUSTRALIA,M,44,Desconocido,2006,09,others/unknown,others/unknown,others/unknown
BRAZIL,M,20,Y,2006,09,others/unknown,others/unknown,others/unknown
USA,M,33,N,2006,09,others/unknown,herida,piernas
USA,M,13,N,2006,09,others/unknown,mordiscos,brazos
SOUTH AFRICA,M,37,N,2006,09,white,golpe,others/unknown
USA,M,23,N,2006,08,others/unknown,laceración,pies
AUSTRALIA,M,unkwown,N,2006,08,whaler,others/unknown,others/unknown
REUNION,M,27,N,2006,08,others/unknown,laceración,piernas
BRAZIL,M,17,Desconocido,2006,08,others/unknown,mordiscos,others/unknown
BELIZE,M,34,Desconocido,2006,08,others/unknown,others/unknown,others/unknown
ITALY,M,unkwown,Y,2006,08,others/unknown,others/unknown,others/unknown
REUNION,M,34,Y,2006,08,others/unknown,others/unknown,others/unknown
SOUTH AFRICA,M,unkwown,N,2006,08,others/unknown,others/unknown,others/unknown
SOUTH AFRICA,M,24,N,2006,08,white,others/unknown,pies
USA,F,59,N,2006,08,others/unknown,laceración,pies
REUNION,M,unkwown,N,2006,08,bull,mordiscos,piernas
USA,Desconocido,unkwown,N,2006,07,others/unknown,others/unknown,others/unknown
USA,M,41,N,2006,07,white,others/unknown,others/unknown
USA,M,unkwown,N,2006,07,mako,laceración,cabeza
USA,M,15,N,2006,07,others/unknown,mordiscos,pies
SOUTH AFRICA,M,19,N,2006,07,white,mordiscos,others/unknown
USA,M,14,N,2006,07,others/unknown,laceración,pies
USA,M,unkwown,N,2006,07,bull,mordiscos,pies
AUSTRALIA,Desconocido,unkwown,Desconocido,2006,07,others/unknown,mordiscos,others/unknown
USA,M,49,N,2006,07,others/unknown,mordiscos,pies
SPAIN,F,7,Desconocido,2006,07,blue,mordiscos,manos
USA,F,21,N,2006,07,others/unknown,mordiscos,pies
BRAZIL,M,unkwown,Y,2006,07,tiger,others/unknown,others/unknown
USA,M,40,N,2006,07,others/unknown,mordiscos,pies
USA,M,11,N,2006,07,others/unknown,mordiscos,piernas
USA,F,14,N,2006,07,bull,mordiscos,pies
USA,M,13,N,2006,07,others/unknown,mordiscos,piernas
USA,F,28,N,2006,06,blacktip,laceración,brazos
USA,M,35,N,2006,06,blacktip,others/unknown,others/unknown
USA,F,9,N,2006,06,others/unknown,mordiscos,piernas
USA,M,unkwown,N,2006,06,others/unknown,others/unknown,others/unknown
BAHAMAS,M,25,N,2006,06,others/unknown,mordiscos,brazos
USA,F,22,N,2006,06,blacktip,herida,pies
BRAZIL,M,27,Y,2006,06,others/unknown,mordiscos,piernas
USA,M,43,N,2006,06,others/unknown,mordiscos,others/unknown
USA,M,24,N,2006,06,others/unknown,herida,pies
USA,F,7,N,2006,06,others/unknown,laceración,pies
AUSTRALIA,M,40,N,2006,06,white,others/unknown,others/unknown
USA,M,26,N,2006,05,tiger,laceración,brazos
USA,Desconocido,unkwown,N,2006,05,tiger,others/unknown,others/unknown
USA,M,31,N,2006,05,others/unknown,golpe,others/unknown
USA,M,15,N,2006,05,reef,mordiscos,piernas
BRAZIL,M,33,N,2006,05,others/unknown,others/unknown,piernas
USA,F,35,N,2006,05,tiger,laceración,piernas
USA,M,unkwown,N,2006,05,others/unknown,laceración,brazos
USA,F,25,N,2006,05,others/unknown,laceración,piernas
AUSTRALIA,M,46,N,2006,05,wobbegong,herida,tronco
USA,M,unkwown,Desconocido,2006,04,others/unknown,mordiscos,others/unknown
USA,M,54,N,2006,04,others/unknown,mordiscos,pies
USA,F,13,N,2006,04,others/unknown,laceración,pies
USA,M,35,N,2006,04,bull,laceración,pies
AUSTRALIA,M,15,N,2006,04,whaler,laceración,pies
SOUTH AFRICA,M,15,N,2006,04,raggedtooth,mordiscos,piernas
BRAZIL,M,35,N,2006,04,tiger,mordiscos,piernas
USA,M,11,N,2006,04,others/unknown,others/unknown,piernas
Sierra Leone,M,unkwown,Y,2006,03,others/unknown,others/unknown,others/unknown
USA,F,28,N,2006,03,tiger,herida,piernas
SOUTH AFRICA,M,17,Desconocido,2006,03,others/unknown,others/unknown,others/unknown
FIJI,M,21,N,2006,03,tiger,laceración,manos
AUSTRALIA,M,15,N,2006,03,whaler,others/unknown,others/unknown
USA,F,15,N,2006,02,others/unknown,laceración,piernas
USA,M,45,Desconocido,2006,02,others/unknown,mordiscos,tronco
AUSTRALIA,M,18,N,2006,02,others/unknown,laceración,pies
AUSTRALIA,M,unkwown,N,2006,02,others/unknown,others/unknown,brazos
AUSTRALIA,M,unkwown,N,2006,02,white,others/unknown,others/unknown
SOUTH AFRICA,M,15,N,2006,02,raggedtooth,mordiscos,piernas
TONGA,F,24,Y,2006,02,tiger,mordiscos,piernas
USA,M,57,N,2006,02,others/unknown,golpe,others/unknown
ATLANTIC OCEAN,M,40,N,2006,01,others/unknown,golpe,others/unknown
SOUTH AFRICA,M,34,N,2006,01,others/unknown,mordiscos,brazos
ATLANTIC OCEAN,F,28,N,2006,01,others/unknown,others/unknown,others/unknown
USA,M,unkwown,N,2006,01,others/unknown,others/unknown,others/unknown
AUSTRALIA,M,52,N,2006,01,white,laceración,brazos
BAHAMAS,M,unkwown,Desconocido,2006,01,others/unknown,others/unknown,others/unknown
AUSTRALIA,F,21,Y,2006,01,bull,others/unknown,others/unknown
USA,M,21,N,2006,01,others/unknown,herida,manos
SOUTH AFRICA,M,49,N,2006,01,others/unknown,laceración,manos
USA,M,30,N,2005,12,white,laceración,piernas
USA,M,29,N,2005,12,tiger,mordiscos,manos
ATLANTIC OCEAN,Desconocido,unkwown,N,2005,12,others/unknown,golpe,others/unknown
AUSTRALIA,M,44,N,2005,12,white,mordiscos,brazos
AUSTRALIA,Desconocido,unkwown,N,2005,12,white,mordiscos,others/unknown
USA,M,14,N,2005,11,others/unknown,mordiscos,pies
USA,M,23,N,2005,11,others/unknown,laceración,others/unknown
AUSTRALIA,Desconocido,unkwown,N,2005,11,white,mordiscos,others/unknown
AUSTRALIA,M,18,N,2005,11,others/unknown,laceración,piernas
SOUTH AFRICA,M,26,N,2005,11,others/unknown,mordiscos,manos
NEW CALEDONIA,Desconocido,unkwown,N,2005,11,others/unknown,mordiscos,brazos
USA,M,35,N,2005,11,others/unknown,mordiscos,pies
USA,M,17,N,2005,11,others/unknown,laceración,piernas
NEW CALEDONIA,Desconocido,unkwown,N,2005,11,white,others/unknown,others/unknown
SOUTH AFRICA,M,32,N,2005,11,raggedtooth,laceración,piernas
USA,M,18,N,2005,11,others/unknown,herida,pies
USA,M,25,N,2005,11,others/unknown,mordiscos,others/unknown
USA,M,26,N,2005,11,white,golpe,others/unknown
USA,M,15,N,2005,10,others/unknown,herida,pies
ST. MAARTIN,M,55,N,2005,10,others/unknown,laceración,piernas
SOUTH AFRICA,M,20,N,2005,10,others/unknown,mordiscos,pies
USA,M,36,N,2005,10,white,others/unknown,others/unknown
USA,F,20,N,2005,10,white,mordiscos,piernas
USA,M,15,N,2005,10,others/unknown,others/unknown,pies
USA,M,22,N,2005,10,tiger,mordiscos,others/unknown
GRAND CAYMAN,F,57,N,2005,10,reef,others/unknown,others/unknown
USA,M,48,N,2005,10,others/unknown,laceración,pies
BAHAMAS,M,35,N,2005,10,others/unknown,laceración,others/unknown
SOUTH AFRICA,M,52,N,2005,10,white,mordiscos,others/unknown
AUSTRALIA,M,28,N,2005,09,tiger,others/unknown,others/unknown
AUSTRALIA,M,26,N,2005,09,white,laceración,piernas
AUSTRALIA,M,44,N,2005,09,whaler,others/unknown,others/unknown
USA,M,unkwown,Desconocido,2005,09,others/unknown,laceración,pies
USA,F,68,N,2005,09,others/unknown,others/unknown,piernas
USA,M,18,Y,2005,09,others/unknown,others/unknown,others/unknown
AUSTRALIA,M,15,N,2005,09,others/unknown,laceración,pies
USA,F,18,N,2005,09,bull,laceración,piernas
AUSTRALIA,M,40,N,2005,09,white,laceración,piernas
USA,M,62,N,2005,09,others/unknown,mordiscos,pies
THAILAND,M,21,Y,2005,09,others/unknown,others/unknown,others/unknown
AUSTRALIA,M,23,Y,2005,08,white,others/unknown,others/unknown
USA,M,37,N,2005,08,white,laceración,piernas
USA,M,17,Desconocido,2005,08,others/unknown,laceración,piernas
USA,M,8,N,2005,08,blacktip,mordiscos,brazos
USA,M,12,N,2005,08,others/unknown,mordiscos,pies
SOUTH AFRICA,Desconocido,unkwown,Desconocido,2005,08,others/unknown,others/unknown,pies
USA,M,16,N,2005,08,others/unknown,laceración,brazos
USA,M,14,N,2005,08,others/unknown,herida,pies
Seychelles,M,unkwown,Desconocido,2005,08,others/unknown,others/unknown,others/unknown
USA,F,13,N,2005,07,others/unknown,laceración,tronco
USA,M,61,N,2005,07,others/unknown,others/unknown,pies
USA,M,25,Desconocido,2005,07,others/unknown,laceración,pies
LIBERIA,M,unkwown,Desconocido,2005,07,others/unknown,mordiscos,tronco
CHINA,M,24,N,2005,07,others/unknown,others/unknown,cabeza
AUSTRALIA,Desconocido,unkwown,Desconocido,2005,07,others/unknown,others/unknown,manos
USA,M,22,N,2005,07,others/unknown,laceración,brazos
USA,F,14,N,2005,07,others/unknown,mordiscos,pies
USA,M,19,N,2005,07,others/unknown,mordiscos,pies
USA,M,16,N,2005,06,bull,mordiscos,piernas
USA,F,14,Y,2005,06,bull,mordiscos,piernas
VANUATU,F,7,Y,2005,06,others/unknown,others/unknown,others/unknown
MEXICO ,M,unkwown,N,2005,06,others/unknown,mordiscos,pies
USA,M,49,Desconocido,2005,06,others/unknown,others/unknown,others/unknown
USA,M,20,N,2005,06,others/unknown,mordiscos,pies
SOUTH KOREA,F,38,N,2005,06,white,mordiscos,piernas
USA,F,11,N,2005,06,others/unknown,laceración,pies
USA,M,17,Desconocido,2005,06,white,others/unknown,pies
SOUTH AFRICA,M,22,Y,2005,06,white,others/unknown,others/unknown
USA,M,6,N,2005,06,others/unknown,laceración,pies
USA,M,33,N,2005,05,others/unknown,mordiscos,pies
USA,F,unkwown,N,2005,05,others/unknown,mordiscos,tronco
SOUTH AFRICA,M,32,N,2005,05,raggedtooth,laceración,piernas
AUSTRALIA,M,unkwown,N,2005,05,blacktip,others/unknown,piernas
USA,Desconocido,unkwown,N,2005,05,tiger,mordiscos,others/unknown
MADAGASCAR,M,unkwown,N,2005,05,others/unknown,mordiscos,piernas
USA,M,14,N,2005,05,others/unknown,others/unknown,others/unknown
USA,M,47,N,2005,05,tiger,others/unknown,others/unknown
AUSTRALIA,M,25,N,2005,04,mako,laceración,piernas
AUSTRALIA,Desconocido,unkwown,N,2005,04,others/unknown,mordiscos,others/unknown
AUSTRALIA,M,20,N,2005,04,others/unknown,others/unknown,others/unknown
AUSTRALIA,M,40,N,2005,04,whaler,mordiscos,others/unknown
USA,F,70,N,2005,04,blacktip,mordiscos,piernas
USA,M,52,Desconocido,2005,04,others/unknown,others/unknown,pies
USA,M,37,N,2005,04,others/unknown,mordiscos,pies
USA,F,unkwown,N,2005,04,hammerhead,others/unknown,piernas
HONDURAS,F,unkwown,Desconocido,2005,04,others/unknown,laceración,piernas
SOUTH AFRICA,M,32,N,2005,03,others/unknown,laceración,piernas
AUSTRALIA,M,unkwown,N,2005,03,others/unknown,golpe,others/unknown
VENEZUELA,M,unkwown,N,2005,03,others/unknown,mordiscos,piernas
AUSTRALIA,M,26,Y,2005,03,white,others/unknown,others/unknown
USA,M,45,N,2005,03,tiger,others/unknown,brazos
SOUTH AFRICA,M,51,Desconocido,2005,03,others/unknown,mordiscos,others/unknown
NEW ZEALAND,M,unkwown,N,2005,03,whaler,others/unknown,others/unknown
SOLOMON ISLANDS,M,unkwown,N,2005,03,others/unknown,mordiscos,piernas
AUSTRALIA,M,18,N,2005,02,bull,mordiscos,manos
USA,M,unkwown,N,2005,02,nurse,mordiscos,tronco
USA,M,unkwown,N,2005,02,tiger,mordiscos,others/unknown
USA,M,unkwown,N,2005,02,reef,mordiscos,manos
BRAZIL,M,12,N,2005,02,others/unknown,others/unknown,piernas
CUBA,M,19,N,2005,01,others/unknown,others/unknown,pies
AUSTRALIA,M,unkwown,N,2005,01,others/unknown,others/unknown,others/unknown
AUSTRALIA,Desconocido,unkwown,N,2005,01,whaler,others/unknown,others/unknown
NEW ZEALAND,M,51,N,2005,01,white,golpe,others/unknown
SRI LANKA,F,11,Desconocido,2004,12,others/unknown,others/unknown,others/unknown
AUSTRALIA,M,18,Y,2004,12,white,others/unknown,others/unknown
AUSTRALIA,M,38,Y,2004,12,bull,mordiscos,piernas
SOUTH AFRICA,M,20,N,2004,11,raggedtooth,laceración,pies
SOUTH AFRICA,M,16,N,2004,11,raggedtooth,laceración,piernas
SOUTH AFRICA,F,77,Y,2004,11,white,others/unknown,others/unknown
USA,M,38,N,2004,11,white,laceración,piernas
VANUATU,M,35,N,2004,11,others/unknown,mordiscos,piernas
NEW CALEDONIA,Desconocido,unkwown,N,2004,11,others/unknown,mordiscos,brazos
CUBA,M,40,N,2004,10,bull,mordiscos,brazos
NEW ZEALAND,Desconocido,unkwown,Desconocido,2004,10,others/unknown,others/unknown,others/unknown
SOUTH AFRICA,M,52,N,2004,10,white,laceración,pies
AUSTRALIA,M,59,N,2004,10,whaler,laceración,pies
USA,M,unkwown,N,2004,10,white,mordiscos,piernas
USA,M,34,N,2004,10,tiger,mordiscos,tronco
SOUTH AFRICA,M,34,N,2004,10,raggedtooth,herida,pies
REUNION,M,15,N,2004,10,tiger,mordiscos,piernas
USA,M,16,N,2004,10,others/unknown,others/unknown,others/unknown
USA,M,40,N,2004,10,others/unknown,others/unknown,others/unknown
AUSTRALIA,Desconocido,unkwown,N,2004,09,tiger,others/unknown,others/unknown
USA,M,26,N,2004,09,white,mordiscos,piernas
USA,M,unkwown,Desconocido,2004,09,others/unknown,others/unknown,piernas
BRAZIL,Desconocido,unkwown,Y,2004,09,others/unknown,others/unknown,others/unknown
USA,F,17,N,2004,09,others/unknown,mordiscos,piernas
USA,F,38,N,2004,08,others/unknown,mordiscos,pies
BRAZIL,M,24,N,2004,08,tiger,mordiscos,piernas
USA,M,unkwown,N,2004,08,white,mordiscos,pies
USA,M,50,Y,2004,08,white,others/unknown,others/unknown
